threshold_posi,threshold_neg,id,F1,Balanced Accuracy
0.25,0.25,1,,0.6875
0.3,0.25,2,,0.6875
0.35,0.25,3,0.5534262485482,0.71125
0.4,0.25,4,0.5534262485482,0.71125
0.45,0.25,5,0.592904309324783,0.72125
0.5,0.25,6,0.592904309324783,0.72125
0.55,0.25,7,0.618941152128331,0.73
0.6,0.25,8,0.618941152128331,0.73
0.65,0.25,9,0.624902926636619,0.7275
0.7,0.25,10,0.629444425953273,0.725
0.75,0.25,11,0.629444425953273,0.725
0.8,0.25,12,0.629444425953273,0.725
0.85,0.25,13,0.627908883566866,0.72
0.9,0.25,14,,0.56625
0.95,0.25,15,,0.56625
0.25,0.2,16,0.527612371238405,0.70125
0.3,0.2,17,0.527612371238405,0.70125
0.35,0.2,18,0.595613887486679,0.725
0.4,0.2,19,0.595613887486679,0.725
0.45,0.2,20,0.626808289654331,0.735
0.5,0.2,21,0.626808289654331,0.735
0.55,0.2,22,0.648601453817737,0.74375
0.6,0.2,23,0.648601453817737,0.74375
0.65,0.2,24,0.652299753520619,0.74125
0.7,0.2,25,0.654600998425026,0.73875
0.75,0.2,26,0.654600998425026,0.73875
0.8,0.2,27,0.654600998425026,0.73875
0.85,0.2,28,0.651833781953314,0.73375
0.9,0.2,29,,0.58
0.95,0.2,30,,0.58
0.25,0.15,31,0.527612371238405,0.70125
0.3,0.15,32,0.527612371238405,0.70125
0.35,0.15,33,0.595613887486679,0.725
0.4,0.15,34,0.595613887486679,0.725
0.45,0.15,35,0.626808289654331,0.735
0.5,0.15,36,0.626808289654331,0.735
0.55,0.15,37,0.648601453817737,0.74375
0.6,0.15,38,0.648601453817737,0.74375
0.65,0.15,39,0.652299753520619,0.74125
0.7,0.15,40,0.654600998425026,0.73875
0.75,0.15,41,0.654600998425026,0.73875
0.8,0.15,42,0.654600998425026,0.73875
0.85,0.15,43,0.651833781953314,0.73375
0.9,0.15,44,,0.58
0.95,0.15,45,,0.58
0.25,0.1,46,0.5654845113171,0.71
0.3,0.1,47,0.5654845113171,0.71
0.35,0.1,48,0.622177192389958,0.73375
0.4,0.1,49,0.622177192389958,0.73375
0.45,0.1,50,0.648185855957307,0.74375
0.5,0.1,51,0.648185855957307,0.74375
0.55,0.1,52,0.667241522290077,0.7525
0.6,0.1,53,0.667241522290077,0.7525
0.65,0.1,54,0.669475076879494,0.75
0.7,0.1,55,0.670268971937137,0.7475
0.75,0.1,56,0.670268971937137,0.7475
0.8,0.1,57,0.670268971937137,0.7475
0.85,0.1,58,0.666678666406558,0.7425
0.9,0.1,59,,0.58875
0.95,0.1,60,,0.58875
0.25,0.05,61,0.5654845113171,0.71
0.3,0.05,62,0.5654845113171,0.71
0.35,0.05,63,0.622177192389958,0.73375
0.4,0.05,64,0.622177192389958,0.73375
0.45,0.05,65,0.648185855957307,0.74375
0.5,0.05,66,0.648185855957307,0.74375
0.55,0.05,67,0.667241522290077,0.7525
0.6,0.05,68,0.667241522290077,0.7525
0.65,0.05,69,0.669475076879494,0.75
0.7,0.05,70,0.670268971937137,0.7475
0.75,0.05,71,0.670268971937137,0.7475
0.8,0.05,72,0.670268971937137,0.7475
0.85,0.05,73,0.666678666406558,0.7425
0.9,0.05,74,,0.58875
0.95,0.05,75,,0.58875
0.25,0,76,0.5654845113171,0.71
0.3,0,77,0.5654845113171,0.71
0.35,0,78,0.622177192389958,0.73375
0.4,0,79,0.622177192389958,0.73375
0.45,0,80,0.648185855957307,0.74375
0.5,0,81,0.648185855957307,0.74375
0.55,0,82,0.667241522290077,0.7525
0.6,0,83,0.667241522290077,0.7525
0.65,0,84,0.669475076879494,0.75
0.7,0,85,0.670268971937137,0.7475
0.75,0,86,0.670268971937137,0.7475
0.8,0,87,0.670268971937137,0.7475
0.85,0,88,0.666678666406558,0.7425
0.9,0,89,,0.58875
0.95,0,90,,0.58875
0.25,-0.05,91,0.648270729762559,0.74375
0.3,-0.05,92,0.648270729762559,0.74375
0.35,-0.05,93,0.686449399214492,0.7675
0.4,-0.05,94,0.686449399214492,0.7675
0.45,-0.05,95,0.703336165439786,0.7775
0.5,-0.05,96,0.703336165439786,0.7775
0.55,-0.05,97,0.717346600944494,0.78625
0.6,-0.05,98,0.717346600944494,0.78625
0.65,-0.05,99,0.716802920339766,0.78375
0.7,-0.05,100,0.71464277513723,0.78125
0.75,-0.05,101,0.71464277513723,0.78125
0.8,-0.05,102,0.71464277513723,0.78125
0.85,-0.05,103,0.709399201054498,0.77625
0.9,-0.05,104,,0.6225
0.95,-0.05,105,,0.6225
0.25,-0.1,106,0.648270729762559,0.74375
0.3,-0.1,107,0.648270729762559,0.74375
0.35,-0.1,108,0.686449399214492,0.7675
0.4,-0.1,109,0.686449399214492,0.7675
0.45,-0.1,110,0.703336165439786,0.7775
0.5,-0.1,111,0.703336165439786,0.7775
0.55,-0.1,112,0.717346600944494,0.78625
0.6,-0.1,113,0.717346600944494,0.78625
0.65,-0.1,114,0.716802920339766,0.78375
0.7,-0.1,115,0.71464277513723,0.78125
0.75,-0.1,116,0.71464277513723,0.78125
0.8,-0.1,117,0.71464277513723,0.78125
0.85,-0.1,118,0.709399201054498,0.77625
0.9,-0.1,119,,0.6225
0.95,-0.1,120,,0.6225
0.25,-0.15,121,0.652552792765034,0.745
0.3,-0.15,122,0.652552792765034,0.745
0.35,-0.15,123,0.688692911110756,0.76875
0.4,-0.15,124,0.688692911110756,0.76875
0.45,-0.15,125,0.704613029845707,0.77875
0.5,-0.15,126,0.704613029845707,0.77875
0.55,-0.15,127,0.718119977179061,0.7875
0.6,-0.15,128,0.718119977179061,0.7875
0.65,-0.15,129,0.717363331037324,0.785
0.7,-0.15,130,0.714913121941653,0.7825
0.75,-0.15,131,0.714913121941653,0.7825
0.8,-0.15,132,0.714913121941653,0.7825
0.85,-0.15,133,0.70955692558304,0.7775
0.9,-0.15,134,,0.62375
0.95,-0.15,135,,0.62375
0.25,-0.2,136,0.652552792765034,0.745
0.3,-0.2,137,0.652552792765034,0.745
0.35,-0.2,138,0.688692911110756,0.76875
0.4,-0.2,139,0.688692911110756,0.76875
0.45,-0.2,140,0.704613029845707,0.77875
0.5,-0.2,141,0.704613029845707,0.77875
0.55,-0.2,142,0.718119977179061,0.7875
0.6,-0.2,143,0.718119977179061,0.7875
0.65,-0.2,144,0.717363331037324,0.785
0.7,-0.2,145,0.714913121941653,0.7825
0.75,-0.2,146,0.714913121941653,0.7825
0.8,-0.2,147,0.714913121941653,0.7825
0.85,-0.2,148,0.70955692558304,0.7775
0.9,-0.2,149,,0.62375
0.95,-0.2,150,,0.62375
0.25,-0.25,151,0.651489764063583,0.74375
0.3,-0.25,152,0.651489764063583,0.74375
0.35,-0.25,153,0.686214302493372,0.7675
0.4,-0.25,154,0.686214302493372,0.7675
0.45,-0.25,155,0.701474420721232,0.7775
0.5,-0.25,156,0.701474420721232,0.7775
0.55,-0.25,157,0.714646501343142,0.78625
0.6,-0.25,158,0.714646501343142,0.78625
0.65,-0.25,159,0.713766096119037,0.78375
0.7,-0.25,160,0.711125539529729,0.78125
0.75,-0.25,161,0.711125539529729,0.78125
0.8,-0.25,162,0.711125539529729,0.78125
0.85,-0.25,163,0.705709895420221,0.77625
0.9,-0.25,164,,0.6225
0.95,-0.25,165,,0.6225
0.25,-0.3,166,0.651489764063583,0.74375
0.3,-0.3,167,0.651489764063583,0.74375
0.35,-0.3,168,0.686214302493372,0.7675
0.4,-0.3,169,0.686214302493372,0.7675
0.45,-0.3,170,0.701474420721232,0.7775
0.5,-0.3,171,0.701474420721232,0.7775
0.55,-0.3,172,0.714646501343142,0.78625
0.6,-0.3,173,0.714646501343142,0.78625
0.65,-0.3,174,0.713766096119037,0.78375
0.7,-0.3,175,0.711125539529729,0.78125
0.75,-0.3,176,0.711125539529729,0.78125
0.8,-0.3,177,0.711125539529729,0.78125
0.85,-0.3,178,0.705709895420221,0.77625
0.9,-0.3,179,,0.6225
0.95,-0.3,180,,0.6225
0.25,-0.35,181,0.641764798879115,0.7375
0.3,-0.35,182,0.641764798879115,0.7375
0.35,-0.35,183,0.676282887873543,0.76125
0.4,-0.35,184,0.676282887873543,0.76125
0.45,-0.35,185,0.691519093418864,0.77125
0.5,-0.35,186,0.691519093418864,0.77125
0.55,-0.35,187,0.704723976644784,0.78
0.6,-0.35,188,0.704723976644784,0.78
0.65,-0.35,189,0.703928635583902,0.7775
0.7,-0.35,190,0.701325723280117,0.775
0.75,-0.35,191,0.701325723280117,0.775
0.8,-0.35,192,0.701325723280117,0.775
0.85,-0.35,193,0.695982070553959,0.77
0.9,-0.35,194,,0.61625
0.95,-0.35,195,,0.61625
0.25,-0.4,196,0.641764798879115,0.7375
0.3,-0.4,197,0.641764798879115,0.7375
0.35,-0.4,198,0.676282887873543,0.76125
0.4,-0.4,199,0.676282887873543,0.76125
0.45,-0.4,200,0.691519093418864,0.77125
0.5,-0.4,201,0.691519093418864,0.77125
0.55,-0.4,202,0.704723976644784,0.78
0.6,-0.4,203,0.704723976644784,0.78
0.65,-0.4,204,0.703928635583902,0.7775
0.7,-0.4,205,0.701325723280117,0.775
0.75,-0.4,206,0.701325723280117,0.775
0.8,-0.4,207,0.701325723280117,0.775
0.85,-0.4,208,0.695982070553959,0.77
0.9,-0.4,209,,0.61625
0.95,-0.4,210,,0.61625
0.25,-0.45,211,0.6133590008566,0.72
0.3,-0.45,212,0.6133590008566,0.72
0.35,-0.45,213,0.647802062436209,0.74375
0.4,-0.45,214,0.647802062436209,0.74375
0.45,-0.45,215,0.663198469291904,0.75375
0.5,-0.45,216,0.663198469291904,0.75375
0.55,-0.45,217,0.676606457294648,0.7625
0.6,-0.45,218,0.676606457294648,0.7625
0.65,-0.45,219,0.676083293627873,0.76
0.7,-0.45,220,0.673648567118463,0.7575
0.75,-0.45,221,0.673648567118463,0.7575
0.8,-0.45,222,0.673648567118463,0.7575
0.85,-0.45,223,0.668520876061668,0.7525
0.9,-0.45,224,,0.59875
0.95,-0.45,225,,0.59875
0.25,-0.5,226,0.6133590008566,0.72
0.3,-0.5,227,0.6133590008566,0.72
0.35,-0.5,228,0.647802062436209,0.74375
0.4,-0.5,229,0.647802062436209,0.74375
0.45,-0.5,230,0.663198469291904,0.75375
0.5,-0.5,231,0.663198469291904,0.75375
0.55,-0.5,232,0.676606457294648,0.7625
0.6,-0.5,233,0.676606457294648,0.7625
0.65,-0.5,234,0.676083293627873,0.76
0.7,-0.5,235,0.673648567118463,0.7575
0.75,-0.5,236,0.673648567118463,0.7575
0.8,-0.5,237,0.673648567118463,0.7575
0.85,-0.5,238,0.668520876061668,0.7525
0.9,-0.5,239,,0.59875
0.95,-0.5,240,,0.59875
0.25,-0.55,241,0.575327129698113,0.69875
0.3,-0.55,242,0.575327129698113,0.69875
0.35,-0.55,243,0.609284510711808,0.7225
0.4,-0.55,244,0.609284510711808,0.7225
0.45,-0.55,245,0.624653710354404,0.7325
0.5,-0.55,246,0.624653710354404,0.7325
0.55,-0.55,247,0.638175446867375,0.74125
0.6,-0.55,248,0.638175446867375,0.74125
0.65,-0.55,249,0.637902912361117,0.73875
0.7,-0.55,250,0.635589917946753,0.73625
0.75,-0.55,251,0.635589917946753,0.73625
0.8,-0.55,252,0.635589917946753,0.73625
0.85,-0.55,253,0.630674676098693,0.73125
0.9,-0.55,254,,0.5775
0.95,-0.55,255,,0.5775
0.25,-0.6,256,0.573013545747239,0.6975
0.3,-0.6,257,0.573013545747239,0.6975
0.35,-0.6,258,0.606961991253347,0.72125
0.4,-0.6,259,0.606961991253347,0.72125
0.45,-0.6,260,0.622338486566804,0.73125
0.5,-0.6,261,0.622338486566804,0.73125
0.55,-0.6,262,0.635871262193874,0.74
0.6,-0.6,263,0.635871262193874,0.74
0.65,-0.6,264,0.635614749044272,0.7375
0.7,-0.6,265,0.633311365059448,0.735
0.75,-0.6,266,0.633311365059448,0.735
0.8,-0.6,267,0.633311365059448,0.735
0.85,-0.6,268,0.628409135093977,0.73
0.9,-0.6,269,,0.57625
0.95,-0.6,270,,0.57625
0.25,-0.65,271,0.534156830779628,0.6775
0.3,-0.65,272,0.534156830779628,0.6775
0.35,-0.65,273,0.567943993326505,0.70125
0.4,-0.65,274,0.567943993326505,0.70125
0.45,-0.65,275,0.583417721859942,0.71125
0.5,-0.65,276,0.583417721859942,0.71125
0.55,-0.65,277,0.597111074933311,0.72
0.6,-0.65,278,0.597111074933311,0.72
0.65,-0.65,279,0.597095295363544,0.7175
0.7,-0.65,280,0.59493449581803,0.715
0.75,-0.65,281,0.59493449581803,0.715
0.8,-0.65,282,0.59493449581803,0.715
0.85,-0.65,283,0.590229364327335,0.71
0.9,-0.65,284,,0.55625
0.95,-0.65,285,,0.55625
0.25,-0.7,286,0.457137570823678,0.64375
0.3,-0.7,287,0.457137570823678,0.64375
0.35,-0.7,288,0.49043719043719,0.6675
0.4,-0.7,289,0.49043719043719,0.6675
0.45,-0.7,290,0.505924090654858,0.6775
0.5,-0.7,291,0.505924090654858,0.6775
0.55,-0.7,292,0.519783704527009,0.68625
0.6,-0.7,293,0.519783704527009,0.68625
0.65,-0.7,294,0.520092597495044,0.68375
0.7,-0.7,295,0.518102649475198,0.68125
0.75,-0.7,296,0.518102649475198,0.68125
0.8,-0.7,297,0.518102649475198,0.68125
0.85,-0.7,298,0.513674457721772,0.67625
0.9,-0.7,299,,0.5225
0.95,-0.7,300,,0.5225
0.25,-0.75,301,0.457137570823678,0.64375
0.3,-0.75,302,0.457137570823678,0.64375
0.35,-0.75,303,0.49043719043719,0.6675
0.4,-0.75,304,0.49043719043719,0.6675
0.45,-0.75,305,0.505924090654858,0.6775
0.5,-0.75,306,0.505924090654858,0.6775
0.55,-0.75,307,0.519783704527009,0.68625
0.6,-0.75,308,0.519783704527009,0.68625
0.65,-0.75,309,0.520092597495044,0.68375
0.7,-0.75,310,0.518102649475198,0.68125
0.75,-0.75,311,0.518102649475198,0.68125
0.8,-0.75,312,0.518102649475198,0.68125
0.85,-0.75,313,0.513674457721772,0.67625
0.9,-0.75,314,,0.5225
0.95,-0.75,315,,0.5225
0.25,-0.8,316,0.457137570823678,0.64375
0.3,-0.8,317,0.457137570823678,0.64375
0.35,-0.8,318,0.49043719043719,0.6675
0.4,-0.8,319,0.49043719043719,0.6675
0.45,-0.8,320,0.505924090654858,0.6775
0.5,-0.8,321,0.505924090654858,0.6775
0.55,-0.8,322,0.519783704527009,0.68625
0.6,-0.8,323,0.519783704527009,0.68625
0.65,-0.8,324,0.520092597495044,0.68375
0.7,-0.8,325,0.518102649475198,0.68125
0.75,-0.8,326,0.518102649475198,0.68125
0.8,-0.8,327,0.518102649475198,0.68125
0.85,-0.8,328,0.513674457721772,0.67625
0.9,-0.8,329,,0.5225
0.95,-0.8,330,,0.5225
0.25,-0.85,331,,0.62125
0.3,-0.85,332,,0.62125
0.35,-0.85,333,,0.645
0.4,-0.85,334,,0.645
0.45,-0.85,335,,0.655
0.5,-0.85,336,,0.655
0.55,-0.85,337,,0.66375
0.6,-0.85,338,,0.66375
0.65,-0.85,339,,0.66125
0.7,-0.85,340,,0.65875
0.75,-0.85,341,,0.65875
0.8,-0.85,342,,0.65875
0.85,-0.85,343,,0.65375
0.9,-0.85,344,,0.5
0.95,-0.85,345,,0.5
0.25,-0.9,346,,0.62125
0.3,-0.9,347,,0.62125
0.35,-0.9,348,,0.645
0.4,-0.9,349,,0.645
0.45,-0.9,350,,0.655
0.5,-0.9,351,,0.655
0.55,-0.9,352,,0.66375
0.6,-0.9,353,,0.66375
0.65,-0.9,354,,0.66125
0.7,-0.9,355,,0.65875
0.75,-0.9,356,,0.65875
0.8,-0.9,357,,0.65875
0.85,-0.9,358,,0.65375
0.9,-0.9,359,,0.5
0.95,-0.9,360,,0.5
0.25,-0.95,361,,0.62125
0.3,-0.95,362,,0.62125
0.35,-0.95,363,,0.645
0.4,-0.95,364,,0.645
0.45,-0.95,365,,0.655
0.5,-0.95,366,,0.655
0.55,-0.95,367,,0.66375
0.6,-0.95,368,,0.66375
0.65,-0.95,369,,0.66125
0.7,-0.95,370,,0.65875
0.75,-0.95,371,,0.65875
0.8,-0.95,372,,0.65875
0.85,-0.95,373,,0.65375
0.9,-0.95,374,,0.5
0.95,-0.95,375,,0.5
